k[1/A]	HH	LH	SO
0.026262626262626262	(-0.05667513607812677+0j)	(-0.011695945965912318+0j)	(-0.008285118268495732+0j)
0.02727272727272727	(-0.05738338169036102+0j)	(-0.012484003314072711+0j)	(-0.012484003314072704+0j)
0.028282828282828285	(-0.05812045384303595+0j)	(-0.013304487701701216+0j)	(-0.009463046359540355+0j)
0.029292929292929294	(-0.058886603059326754+0j)	(-0.01415678664406784+0j)	(-0.014156786644067837+0j)
0.030303030303030304	(-0.05968209154451112+0j)	(-0.015040298300826406+0j)	(-0.01504029830082641+0j)
0.031313131313131314	(-0.060507193295162784+0j)	(-0.015954437219684647+0j)	(-0.011361787053675127+0j)
0.03232323232323232	(-0.061362194174169+0j)	(-0.016898636499750045+0j)	(-0.016898636499750073+0j)
0.03333333333333333	(-0.06224739194584712+0j)	(-0.012719129944371696+0j)	(-0.01787234763888793+0j)
0.03434343434343434	(-0.0631630962650983+0j)	(-0.013426009886398088+0j)	(-0.013426009886398079+0j)
0.03535353535353535	(-0.06410962861424377+0j)	(-0.014151964968325484+0j)	(-0.019906193654657813+0j)
0.03636363636363636	(-0.06508732218096241+0j)	(-0.01489716679675068+0j)	(-0.020965306768900408+0j)
0.03737373737373737	(-0.06609652167060215+0j)	(-0.01566176574900586+0j)	(-0.02205188327327617+0j)
0.03838383838383838	(-0.06713758304608908+0j)	(-0.016445893510103057+0j)	(-0.023165435519846622+0j)
0.03939393939393939	(-0.06821087318873899+0j)	(-0.017249665412874596+0j)	(-0.017249665412874603+0j)
0.0404040404040404	(-0.06931676947349154+0j)	(-0.018073182545193474+0j)	(-0.01807318254519348+0j)
0.04141414141414142	(-0.07045565925248491+0j)	(-0.018916533617083654+0j)	(-0.026663141977239048+0j)
0.04242424242424243	(-0.07162793924146071+0j)	(-0.019779796597054408+0j)	(-0.027879806138983672+0j)
0.043434343434343436	(-0.07283401480427835+0j)	(-0.020663040135583538+0j)	(-0.020663040135583545+0j)
0.044444444444444446	(-0.07407429913182498+0j)	(-0.02156632479735998+0j)	(-0.02156632479735997+0j)
0.045454545454545456	(-0.07534921231285102+0j)	(-0.02248970412466275+0j)	(-0.03167544555336327+0j)
0.046464646464646465	(-0.07665918029573972+0j)	(-0.023433225553383598+0j)	(-0.023433225553383598+0j)
0.047474747474747475	(-0.07800463374192661+0j)	(-0.0243969312014897+0j)	(-0.03432250924080024+0j)
0.048484848484848485	(-0.0793860067736147+0j)	(-0.025380858547659858+0j)	(-0.035679614614938064+0j)
0.049494949494949494	(-0.08080373562054423+0j)	(-0.02638504101569482+0j)	(-0.03705847548885356+0j)
0.050505050505050504	(-0.08225825717284305+0j)	(-0.027409508478260597+0j)	(-0.02740950847826059+0j)
0.051515151515151514	(-0.08375000744935283+0j)	(-0.02845428769164885+0j)	(-0.028454287691648875+0j)
0.052525252525252523	(-0.08527941999322497+0j)	(-0.029519402671567493+0j)	(-0.041320944648245005+0j)
0.05353535353535353	(-0.08684692420895239+0j)	(-0.03060487501850735+0j)	(-0.030604875018507362+0j)
0.05454545454545454	(-0.0884529436572476+0j)	(-0.031710724199963486+0j)	(-0.04426294176554375+0j)
0.05555555555555555	(-0.09009789432621011+0j)	(-0.032836967795700035+0j)	(-0.04576271831102929+0j)
0.05656565656565657	(-0.09178218289897694+0j)	(-0.03398362171131854+0j)	(-0.047281113069712916+0j)
0.05757575757575758	(-0.0935062050393871+0j)	(-0.03515070036460029+0j)	(-0.035150700364600274+0j)
0.05858585858585859	(-0.09527034371809272+0j)	(-0.03633821684842439+0j)	(-0.050372130918281625+0j)
