k[1/A]	HH	LH	SO
0.07171717171717172	(-0.17785047988234676+0j)	(-0.0627711461008926+0j)	(-0.17785047988234665+0j)
0.07272727272727272	(-0.18114618633772553+0j)	(-0.11071429032339304+0j)	(-0.06434009975983723+0j)
0.07373737373737374	(-0.18451793422187415+0j)	(-0.11280386959899247+0j)	(-0.11280386959899255+0j)
0.07474747474747474	(-0.18796542460240914+0j)	(-0.11489538415938536+0j)	(-0.06753650345606205+0j)
0.07575757575757576	(-0.19148828894426104+0j)	(-0.11698911577128182+0j)	(-0.06916413227539013+0j)
0.07676767676767676	(-0.1950860987060854+0j)	(-0.19508609870608543+0j)	(-0.11908541114744814+0j)
0.07777777777777778	(-0.19875837473659808+0j)	(-0.198758374736598+0j)	(-0.12118467225918436+0j)
0.07878787878787878	(-0.20250459629363363+0j)	(-0.2025045962936338+0j)	(-0.12328734704063363+0j)
0.0797979797979798	(-0.20632420954685107+0j)	(-0.20632420954685116+0j)	(-0.12539392062398763+0j)
0.0808080808080808	(-0.21021663546215968+0j)	(-0.1275049072072969+0j)	(-0.07759968693311448+0j)
0.08181818181818182	(-0.2141812770004517+0j)	(-0.12962084262196957+0j)	(-0.12962084262196957+0j)
0.08282828282828283	(-0.21821752559384908+0j)	(-0.13174227763631297+0j)	(-0.08111396883198416+0j)
0.08383838383838384	(-0.2223247668887501+0j)	(-0.133869772005314+0j)	(-0.133869772005314+0j)
0.08484848484848485	(-0.22650238576628778+0j)	(-0.13600388925551155+0j)	(-0.08470899116559018+0j)
0.08585858585858586	(-0.23074977066737418+0j)	(-0.13814519217718718+0j)	(-0.08653690728007635+0j)
0.08686868686868687	(-0.2350663172617595+0j)	(-0.140294238983851+0j)	(-0.08838515573269158+0j)
0.08787878787878788	(-0.23945143150889608+0j)	(-0.14245158009064618+0j)	(-0.0902537801488417+0j)
0.08888888888888889	(-0.2439045321634122+0j)	(-0.14461775545825195+0j)	(-0.09214282181321823+0j)
0.0898989898989899	(-0.24842505278036103+0j)	(-0.1467932924465582+0j)	(-0.0940523198108797+0j)
0.09090909090909091	(-0.25301244327553807+0j)	(-0.2530124432755383+0j)	(-0.14897870412223388+0j)
0.09191919191919191	(-0.2576661710947352+0j)	(-0.25766617109473494+0j)	(-0.15117448796579824+0j)
0.09292929292929293	(-0.2623857220431099+0j)	(-0.15338112492647119+0j)	(-0.09990391237546875+0j)
0.09393939393939393	(-0.2671706008224488+0j)	(-0.2671706008224487+0j)	(-0.15559907877654486+0j)
0.09494949494949495	(-0.27202033132016+0j)	(-0.1578287957209587+0j)	(-0.10390788475751751+0j)
0.09595959595959595	(-0.27693445668969546+0j)	(-0.16007070422193173+0j)	(-0.10594083398842738+0j)
0.09696969696969697	(-0.2819125392579163+0j)	(-0.16232521500271976+0j)	(-0.16232521500271987+0j)
0.09797979797979799	(-0.28695416029082094+0j)	(-0.28695416029082094+0j)	(-0.16459272119867266+0j)
0.09898989898989899	(-0.29205891964518155+0j)	(-0.16687359862767928+0j)	(-0.11216385342995301+0j)
0.1	(-0.2972264353300008+0j)	(-0.1691682061557383+0j)	(-0.11427966498416223+0j)
