k[1/A]	HH	LH	SO
0.030303030303030304	(-0.055671632445960975+0j)	(-0.009236319237511075+0j)	(-0.013413370937733858+0j)
0.031313131313131314	(-0.05648017265129432+0j)	(-0.009862336430275722+0j)	(-0.009862336430275722+0j)
0.03232323232323232	(-0.05731764078679491+0j)	(-0.010508878776901499+0j)	(-0.010508878776901492+0j)
0.03333333333333333	(-0.058184285777449295+0j)	(-0.011175946277388408+0j)	(-0.016168568316821477+0j)
0.03434343434343434	(-0.05908036591646312+0j)	(-0.011863538931736448+0j)	(-0.017139927318593817+0j)
0.03535353535353535	(-0.060006148775496586+0j)	(-0.012571656739945631+0j)	(-0.012571656739945647+0j)
0.03636363636363636	(-0.060961911070403635+0j)	(-0.013300299702015952+0j)	(-0.019160493802117002+0j)
0.03737373737373737	(-0.061947938478018584+0j)	(-0.014049467817947407+0j)	(-0.014049467817947426+0j)
0.03838383838383838	(-0.06296452539956894+0j)	(-0.014819161087739993+0j)	(-0.014819161087739998+0j)
0.03939393939393939	(-0.06401197466641127+0j)	(-0.015609379511393726+0j)	(-0.022381681052033076+0j)
0.0404040404040404	(-0.06509059718400356+0j)	(-0.01642012308890858+0j)	(-0.01642012308890856+0j)
0.04141414141414142	(-0.06620071151034393+0j)	(-0.017251391820284585+0j)	(-0.02465250036520166+0j)
0.04242424242424243	(-0.0673426433655484+0j)	(-0.01810318570552172+0j)	(-0.01810318570552174+0j)
0.043434343434343436	(-0.06851672506980547+0j)	(-0.018975504744619984+0j)	(-0.027019020770696574+0j)
0.044444444444444446	(-0.06972329490764698+0j)	(-0.019868348937579387+0j)	(-0.01986834893757938+0j)
0.045454545454545456	(-0.07096269641731322+0j)	(-0.020781718284399932+0j)	(-0.029478561196000272+0j)
0.046464646464646465	(-0.07223527760496654+0j)	(-0.021715612785081606+0j)	(-0.030742352572698313+0j)
0.047474747474747475	(-0.07354139008461975+0j)	(-0.022670032439624427+0j)	(-0.032028357109360216+0j)
0.048484848484848485	(-0.07488138814587157+0j)	(-0.02364497724802837+0j)	(-0.023644977248028363+0j)
0.049494949494949494	(-0.07625562775288232+0j)	(-0.02464044721029344+0j)	(-0.03466558682961931+0j)
0.050505050505050504	(-0.07766446547943615+0j)	(-0.025656442326419653+0j)	(-0.036016099475271755+0j)
0.051515151515151514	(-0.07910825738640845+0j)	(-0.02669296259640703+0j)	(-0.026692962596407018+0j)
0.052525252525252523	(-0.08058735784943699+0j)	(-0.027750008020255516+0j)	(-0.038779141205575095+0j)
0.05353535353535353	(-0.08210211834605977+0j)	(-0.028827578597965142+0j)	(-0.02882757859796516+0j)
0.05454545454545454	(-0.08365288621296227+0j)	(-0.02992567432953591+0j)	(-0.041622524750209076+0j)
0.05555555555555555	(-0.0852400033852473+0j)	(-0.031044295214967797+0j)	(-0.031044295214967783+0j)
0.05656565656565657	(-0.08686380513073033+0j)	(-0.03218344125426082+0j)	(-0.04454349554845539+0j)
0.05757575757575758	(-0.08852461879314007+0j)	(-0.03334311244741499+0j)	(-0.046032243421998506+0j)
0.05858585858585859	(-0.09022276255871402+0j)	(-0.03452330879443031+0j)	(-0.03452330879443029+0j)
0.0595959595959596	(-0.09195854426098646+0j)	(-0.035724030295306755+0j)	(-0.04906467438194892+0j)
0.06060606060606061	(-0.09373226023853812+0j)	(-0.03694527695004433+0j)	(-0.05060775329624131+0j)
0.06161616161616162	(-0.09554419426011244+0j)	(-0.03818704875864303+0j)	(-0.03818704875864302+0j)
0.06262626262626263	(-0.09739461653076076+0j)	(-0.03944934572110287+0j)	(-0.05374622014359824+0j)
0.06363636363636363	(-0.09928378279161187+0j)	(-0.04073216783742385+0j)	(-0.055341082130482416+0j)
0.06464646464646465	(-0.10121193352445278+0j)	(-0.04203551510760597+0j)	(-0.04203551510760597+0j)
0.06565656565656566	(-0.10317929327061955+0j)	(-0.04335938753164923+0j)	(-0.043359387531649266+0j)
0.06666666666666667	(-0.10518607007176507+0j)	(-0.04470378510955362+0j)	(-0.060225346305317985+0j)
0.06767676767676768	(-0.10723245503795498+0j)	(-0.04606870784131915+0j)	(-0.04606870784131918+0j)
0.06868686868686869	(-0.10931862204631629+0j)	(-0.047454155726945814+0j)	(-0.04745415572694584+0j)
0.0696969696969697	(-0.11144472757118781+0j)	(-0.04886012876643359+0j)	(-0.048860128766433614+0j)
0.0707070707070707	(-0.11361091064446549+0j)	(-0.05028662695978254+0j)	(-0.06696299666676225+0j)
0.07171717171717172	(-0.11581729294268642+0j)	(-0.05173365030699262+0j)	(-0.05173365030699271+0j)
0.07272727272727272	(-0.11806397899538708+0j)	(-0.05320119880806378+0j)	(-0.053201198808063864+0j)
0.07373737373737374	(-0.120351056507478+0j)	(-0.05468927246299616+0j)	(-0.0721800357499775+0j)
0.07474747474747474	(-0.12267859678683972+0j)	(-0.05619787127178963+0j)	(-0.05619787127178965+0j)
0.07575757575757576	(-0.12504665526708703+0j)	(-0.057726995234444245+0j)	(-0.05772699523444425+0j)
0.07676767676767676	(-0.1274552721144837+0j)	(-0.05927664435095999+0j)	(-0.07753470515687354+0j)
0.07777777777777778	(-0.12990447290735654+0j)	(-0.0608468186213369+0j)	(-0.07934995493922876+0j)
0.07878787878787878	(-0.1323942693759948+0j)	(-0.062437518045574875+0j)	(-0.0624375180455749+0j)
0.0797979797979798	(-0.13492466019097057+0j)	(-0.06404874262367406+0j)	(-0.08302590216196236+0j)
0.0808080808080808	(-0.13749563178801588+0j)	(-0.06568049235563435+0j)	(-0.06568049235563433+0j)
0.08181818181818182	(-0.14010715921801262+0j)	(-0.06733276724145576+0j)	(-0.06733276724145579+0j)
